"Data last updated April 1, 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Share of global emissions covered (accounting for overlap of coverage between instruments). Global GHG Emissions is sourced from the EDGAR (Emissions Database for Global Atmospheric Research) Community GHG Database (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan OBPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006289182442002144,0.0005666186034145022,0.0005586751863422161,0.0005543726944978647,0.0005439638306056045,0.0005439638306056045,0.0
Switzerland ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015008188930264253,0.00014652560996716643,0.0001440733737521762,0.00012971006036583576,0.0001314581099937433,0.0001324108799927311,0.00012253020623958382,0.00012125099383339646,0.00012183792964803873,0.00011762600824232195,0.00011193546260206774,0.00011093179828015248,0.0001094289531438738,0.00010874436586756774,0.0001005898467432252,9.843776523243552e-05,9.843776523243552e-05,0.00010664091233513848
China national ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09695855368660468,0.09621185256818202,0.09629349309575089,0.15293672432854552,0.15293672432854552
Beijing pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006753151783824884,0.0006883055158900718,0.0006466685310206655,0.0005781833947979581,0.0005316433987389077,0.0005236891222349842,0.0005211921579608722,0.0010136289864302365,0.0006787098758062328,0.0008466643026000017,0.000873750456879261,0.0004716384968307689,0.0004716384968307689
Chongqing pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011850549750940314,0.0011886003907690993,0.001207954333841907,0.0010676754776308007,0.0010112291427919894,0.0010214646853180438,0.0015893702507226107,0.001591378706168722,0.0015774605939040361,0.0016279260982187051,0.0005552048175067627,0.0005552048175067627
Fujian pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001947199096285809,0.0020542612490593785,0.0021909904130605674,0.0023675117018898987,0.002554345045804196,0.0025542761383199135,0.0022363483010948227,0.002307892684056993,0.0009629694038379215,0.0009629694038379215
Guangdong pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006804606314646424,0.006860604277011589,0.006840577867619166,0.006927543252332299,0.00716769858676753,0.00732287481493002,0.007439914810372849,0.0094267495738012,0.005138803345390048,0.005118470556627283,0.00560767989204667,0.001774821245294233,0.001774821245294233
Hubei pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024374288491108564,0.0024537771352059474,0.0024519088650347526,0.002534548220609858,0.002394832272094476,0.0026078806579105233,0.0033652482349483853,0.00352929135419241,0.0034636266924545525,0.0033797127968900804,0.0014488607150406109,0.0014488607150406109
Shanghai pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016100289771593455,0.0013768670463787985,0.0014252581980309003,0.00138800438899252,0.0013509418847788026,0.001277454859641526,0.001338574149816547,0.0021286208715034964,0.002113696470367982,0.0019242370513636404,0.0019825130931478124,0.001044777543052234,0.001044777543052234
Shenzhen pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029666525497251873,0.0003483509951162804,0.0003493304961718535,0.000356635575843792,0.000363018151797335,0.00044599675402930405,0.0004847927684330234,0.0005003016333545464,0.00052867015817275,0.0003512013165026341,0.0003512013165026341
Tianjin pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012729507383079932,0.0012046226941596204,0.0011336163844474334,0.00108811257241283,0.001084996474546657,0.0011104276624722216,0.0010998654046752074,0.0014525427560255625,0.0014543783052990702,0.0014431777885227303,0.0013971997037422678,0.0006646236096225178,0.0006646236096225178
Germany ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005925342067241543,0.005718324020194085,0.0050205922100282265,0.0050205922100282265,0.0050205922100282265
EU ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05123519730511782,0.04976678011972503,0.04790755694372695,0.046417211363300695,0.04367851724228455,0.042725421387278896,0.04018840599332816,0.039278814453415856,0.035925682209869456,0.03422109018440465,0.034621061527952496,0.03433404236900921,0.03385962519484047,0.032421258906248925,0.030987699652557862,0.029654176989265802,0.02681868395354261,0.025914780445085377,0.02355379146973443,0.02355379146973443,0.02479346470498361
Indonesia ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00589187681858463,0.00589187681858463,0.005436389418378664
Saitama ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015904136111465845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo CaT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027344685078928624,0.0002655522198824544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
